29|172.25.124.244|2|188264|181182|Module|CLK-7600 1|OSR-7600 Clock FRU 1|181182_10.114.8.2|Module|cevClk7600|Cisco Systems|NWG0703054A|CLK-7600|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
30|172.25.124.244|2|188266|181182|Module|CLK-7600 2|OSR-7600 Clock FRU 2|181182_10.114.8.2|Module|cevClk7600|Cisco Systems|NWG0703054A|CLK-7600|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
31|172.25.124.244|3|188280|181183|Module|switching engine sub-module of 5|WS-F6K-PFC3B Policy Feature Card 3 Rev. 2.3|181183_10.114.8.3|Module|cevCat6kWsf6kpfc3b|Cisco Systems|SAL1104F9TX|WS-F6K-PFC3B|V01|Unknown|ok|0|0|0|\N|1|1899-12-31|2199-12-31
32|172.25.124.244|3|188282|181183|Module|WS-C6K-VTT 3|VTT FRU 3|181183_10.114.8.3|Module|cevCat6kWsc6kvtt|Cisco Systems|NWG072302YF|WS-C6K-VTT|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
33|172.25.124.244|3|188284|181183|Module|WS-C6K-VTT 2|VTT FRU 2|181183_10.114.8.3|Module|cevCat6kWsc6kvtt|Cisco Systems|NWG072302JW|WS-C6K-VTT|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
34|172.25.124.244|3|188286|181183|Module|WS-C6K-VTT 1|VTT FRU 1|181183_10.114.8.3|Module|cevCat6kWsc6kvtt|Cisco Systems|NWG072302XG|WS-C6K-VTT|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
35|172.25.124.244|3|188295|181183|Module|msfc sub-module of 5|WS-SUP720 MSFC3 Daughterboard Rev. 2.6|181183_10.114.8.3|Module|cevCat6kWsSup720|Cisco Systems|SAL1104F9KU|WS-SUP720|Unknown|Unknown|ok|0|0|0|\N|1|1899-12-31|2199-12-31
36|172.25.124.244|3|188296|181183|Module|CPU of Routing Processor 5|CPU of Routing Processor|181183_10.114.8.3|Module|cevCpuCat6kWsSup720RP|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
37|172.25.124.244|3|188299|181183|Module|CLK-7600 1|OSR-7600 Clock FRU 1|181183_10.114.8.3|Module|cevClk7600|Cisco Systems|NWG0703054A|CLK-7600|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
38|172.25.124.244|3|188301|181183|Module|CLK-7600 2|OSR-7600 Clock FRU 2|181183_10.114.8.3|Module|cevClk7600|Cisco Systems|NWG0703054A|CLK-7600|Unknown|Unknown|Unknown|0|0|0|\N|1|1899-12-31|2199-12-31
