date_key,year,week_number,month_number,day_in_month,quarter_number,day_end_date,year_for_week
310,2015,27,6,29,2,2015-06-29,2015
311,2015,27,6,30,2,2015-06-30,2015
312,2015,27,7,1,3,2015-07-01,2015
313,2015,27,7,2,3,2015-07-02,2015
314,2015,27,7,3,3,2015-07-03,2015
315,2015,27,7,4,3,2015-07-04,2015
316,2015,27,7,5,3,2015-07-05,2015
317,2015,28,7,6,3,2015-07-06,2015
318,2015,28,7,7,3,2015-07-07,2015
319,2015,28,7,8,3,2015-07-08,2015
320,2015,28,7,9,3,2015-07-09,2015
321,2015,28,7,10,3,2015-07-10,2015
322,2015,28,7,11,3,2015-07-11,2015
323,2015,28,7,12,3,2015-07-12,2015
324,2015,29,7,13,3,2015-07-13,2015
325,2015,29,7,14,3,2015-07-14,2015
326,2015,29,7,15,3,2015-07-15,2015
327,2015,29,7,16,3,2015-07-16,2015
328,2015,29,7,17,3,2015-07-17,2015
329,2015,29,7,18,3,2015-07-18,2015
330,2015,29,7,19,3,2015-07-19,2015
331,2015,30,7,20,3,2015-07-20,2015
332,2015,30,7,21,3,2015-07-21,2015
333,2015,30,7,22,3,2015-07-22,2015
334,2015,30,7,23,3,2015-07-23,2015
335,2015,30,7,24,3,2015-07-24,2015
336,2015,30,7,25,3,2015-07-25,2015
337,2015,30,7,26,3,2015-07-26,2015
338,2015,31,7,27,3,2015-07-27,2015
339,2015,31,7,28,3,2015-07-28,2015
340,2015,31,7,29,3,2015-07-29,2015
341,2015,31,7,30,3,2015-07-30,2015
342,2015,31,7,31,3,2015-07-31,2015
343,2015,31,8,1,3,2015-08-01,2015
344,2015,31,8,2,3,2015-08-02,2015
345,2015,32,8,3,3,2015-08-03,2015
346,2015,32,8,4,3,2015-08-04,2015
347,2015,32,8,5,3,2015-08-05,2015
348,2015,32,8,6,3,2015-08-06,2015
349,2015,32,8,7,3,2015-08-07,2015
350,2015,32,8,8,3,2015-08-08,2015
351,2015,32,8,9,3,2015-08-09,2015
352,2015,33,8,10,3,2015-08-10,2015
353,2015,33,8,11,3,2015-08-11,2015
354,2015,33,8,12,3,2015-08-12,2015
355,2015,33,8,13,3,2015-08-13,2015
356,2015,33,8,14,3,2015-08-14,2015
357,2015,33,8,15,3,2015-08-15,2015
358,2015,33,8,16,3,2015-08-16,2015
359,2015,34,8,17,3,2015-08-17,2015
360,2015,34,8,18,3,2015-08-18,2015
361,2015,34,8,19,3,2015-08-19,2015
362,2015,34,8,20,3,2015-08-20,2015
363,2015,34,8,21,3,2015-08-21,2015
364,2015,34,8,22,3,2015-08-22,2015
365,2015,34,8,23,3,2015-08-23,2015
366,2015,35,8,24,3,2015-08-24,2015
367,2015,35,8,25,3,2015-08-25,2015
368,2015,35,8,26,3,2015-08-26,2015
369,2015,35,8,27,3,2015-08-27,2015
370,2015,35,8,28,3,2015-08-28,2015
371,2015,35,8,29,3,2015-08-29,2015
372,2015,35,8,30,3,2015-08-30,2015
373,2015,36,8,31,3,2015-08-31,2015
374,2015,36,9,1,3,2015-09-01,2015
375,2015,36,9,2,3,2015-09-02,2015
376,2015,36,9,3,3,2015-09-03,2015
377,2015,36,9,4,3,2015-09-04,2015
378,2015,36,9,5,3,2015-09-05,2015
379,2015,36,9,6,3,2015-09-06,2015
380,2015,37,9,7,3,2015-09-07,2015
381,2015,37,9,8,3,2015-09-08,2015
382,2015,37,9,9,3,2015-09-09,2015
383,2015,37,9,10,3,2015-09-10,2015
384,2015,37,9,11,3,2015-09-11,2015
385,2015,37,9,12,3,2015-09-12,2015
386,2015,37,9,13,3,2015-09-13,2015
387,2015,38,9,14,3,2015-09-14,2015
388,2015,38,9,15,3,2015-09-15,2015
389,2015,38,9,16,3,2015-09-16,2015
390,2015,38,9,17,3,2015-09-17,2015
391,2015,38,9,18,3,2015-09-18,2015
392,2015,38,9,19,3,2015-09-19,2015
393,2015,38,9,20,3,2015-09-20,2015
394,2015,39,9,21,3,2015-09-21,2015
395,2015,39,9,22,3,2015-09-22,2015
396,2015,39,9,23,3,2015-09-23,2015
397,2015,39,9,24,3,2015-09-24,2015
398,2015,39,9,25,3,2015-09-25,2015
399,2015,39,9,26,3,2015-09-26,2015
400,2015,39,9,27,3,2015-09-27,2015
401,2015,40,9,28,3,2015-09-28,2015
402,2015,40,9,29,3,2015-09-29,2015
403,2015,40,9,30,3,2015-09-30,2015
404,2015,40,10,1,4,2015-10-01,2015
405,2015,40,10,2,4,2015-10-02,2015
406,2015,40,10,3,4,2015-10-03,2015
407,2015,40,10,4,4,2015-10-04,2015
408,2015,41,10,5,4,2015-10-05,2015
409,2015,41,10,6,4,2015-10-06,2015
410,2015,41,10,7,4,2015-10-07,2015
411,2015,41,10,8,4,2015-10-08,2015
412,2015,41,10,9,4,2015-10-09,2015
413,2015,41,10,10,4,2015-10-10,2015
414,2015,41,10,11,4,2015-10-11,2015
415,2015,42,10,12,4,2015-10-12,2015
416,2015,42,10,13,4,2015-10-13,2015
417,2015,42,10,14,4,2015-10-14,2015
418,2015,42,10,15,4,2015-10-15,2015
419,2015,42,10,16,4,2015-10-16,2015
420,2015,42,10,17,4,2015-10-17,2015
421,2015,42,10,18,4,2015-10-18,2015
422,2015,43,10,19,4,2015-10-19,2015
423,2015,43,10,20,4,2015-10-20,2015
424,2015,43,10,21,4,2015-10-21,2015
425,2015,43,10,22,4,2015-10-22,2015
426,2015,43,10,23,4,2015-10-23,2015
427,2015,43,10,24,4,2015-10-24,2015
428,2015,43,10,25,4,2015-10-25,2015
429,2015,44,10,26,4,2015-10-26,2015
430,2015,44,10,27,4,2015-10-27,2015
431,2015,44,10,28,4,2015-10-28,2015
432,2015,44,10,29,4,2015-10-29,2015
433,2015,44,10,30,4,2015-10-30,2015
434,2015,44,10,31,4,2015-10-31,2015
435,2015,44,11,1,4,2015-11-01,2015
436,2015,45,11,2,4,2015-11-02,2015
437,2015,45,11,3,4,2015-11-03,2015
438,2015,45,11,4,4,2015-11-04,2015
439,2015,45,11,5,4,2015-11-05,2015
440,2015,45,11,6,4,2015-11-06,2015
441,2015,45,11,7,4,2015-11-07,2015
442,2015,45,11,8,4,2015-11-08,2015
443,2015,46,11,9,4,2015-11-09,2015
444,2015,46,11,10,4,2015-11-10,2015
445,2015,46,11,11,4,2015-11-11,2015
446,2015,46,11,12,4,2015-11-12,2015
447,2015,46,11,13,4,2015-11-13,2015
448,2015,46,11,14,4,2015-11-14,2015
449,2015,46,11,15,4,2015-11-15,2015
450,2015,47,11,16,4,2015-11-16,2015
451,2015,47,11,17,4,2015-11-17,2015
452,2015,47,11,18,4,2015-11-18,2015
453,2015,47,11,19,4,2015-11-19,2015
454,2015,47,11,20,4,2015-11-20,2015
455,2015,47,11,21,4,2015-11-21,2015
456,2015,47,11,22,4,2015-11-22,2015
457,2015,48,11,23,4,2015-11-23,2015
458,2015,48,11,24,4,2015-11-24,2015
459,2015,48,11,25,4,2015-11-25,2015
460,2015,48,11,26,4,2015-11-26,2015
461,2015,48,11,27,4,2015-11-27,2015
462,2015,48,11,28,4,2015-11-28,2015
463,2015,48,11,29,4,2015-11-29,2015
464,2015,49,11,30,4,2015-11-30,2015
465,2015,49,12,1,4,2015-12-01,2015
466,2015,49,12,2,4,2015-12-02,2015
467,2015,49,12,3,4,2015-12-03,2015
468,2015,49,12,4,4,2015-12-04,2015
469,2015,49,12,5,4,2015-12-05,2015
470,2015,49,12,6,4,2015-12-06,2015
471,2015,50,12,7,4,2015-12-07,2015
472,2015,50,12,8,4,2015-12-08,2015
473,2015,50,12,9,4,2015-12-09,2015
474,2015,50,12,10,4,2015-12-10,2015
475,2015,50,12,11,4,2015-12-11,2015
476,2015,50,12,12,4,2015-12-12,2015
477,2015,50,12,13,4,2015-12-13,2015
478,2015,51,12,14,4,2015-12-14,2015
479,2015,51,12,15,4,2015-12-15,2015
480,2015,51,12,16,4,2015-12-16,2015
481,2015,51,12,17,4,2015-12-17,2015
482,2015,51,12,18,4,2015-12-18,2015
483,2015,51,12,19,4,2015-12-19,2015
484,2015,51,12,20,4,2015-12-20,2015
485,2015,52,12,21,4,2015-12-21,2015
486,2015,52,12,22,4,2015-12-22,2015
487,2015,52,12,23,4,2015-12-23,2015
488,2015,52,12,24,4,2015-12-24,2015
489,2015,52,12,25,4,2015-12-25,2015
490,2015,52,12,26,4,2015-12-26,2015
491,2015,52,12,27,4,2015-12-27,2015
492,2015,53,12,28,4,2015-12-28,2015
493,2015,53,12,29,4,2015-12-29,2015
494,2015,53,12,30,4,2015-12-30,2015
495,2015,53,12,31,4,2015-12-31,2015
496,2016,53,1,1,1,2016-01-01,2015
497,2016,53,1,2,1,2016-01-02,2015
498,2016,53,1,3,1,2016-01-03,2015
499,2016,1,1,4,1,2016-01-04,2016
500,2016,1,1,5,1,2016-01-05,2016
501,2016,1,1,6,1,2016-01-06,2016
502,2016,1,1,7,1,2016-01-07,2016
503,2016,1,1,8,1,2016-01-08,2016
504,2016,1,1,9,1,2016-01-09,2016
505,2016,1,1,10,1,2016-01-10,2016
506,2016,2,1,11,1,2016-01-11,2016
507,2016,2,1,12,1,2016-01-12,2016
508,2016,2,1,13,1,2016-01-13,2016
509,2016,2,1,14,1,2016-01-14,2016
510,2016,2,1,15,1,2016-01-15,2016
511,2016,2,1,16,1,2016-01-16,2016
512,2016,2,1,17,1,2016-01-17,2016
513,2016,3,1,18,1,2016-01-18,2016
514,2016,3,1,19,1,2016-01-19,2016
515,2016,3,1,20,1,2016-01-20,2016
516,2016,3,1,21,1,2016-01-21,2016
517,2016,3,1,22,1,2016-01-22,2016
518,2016,3,1,23,1,2016-01-23,2016
519,2016,3,1,24,1,2016-01-24,2016
520,2016,4,1,25,1,2016-01-25,2016
521,2016,4,1,26,1,2016-01-26,2016
522,2016,4,1,27,1,2016-01-27,2016
523,2016,4,1,28,1,2016-01-28,2016
524,2016,4,1,29,1,2016-01-29,2016
525,2016,4,1,30,1,2016-01-30,2016
526,2016,4,1,31,1,2016-01-31,2016
527,2016,5,2,1,1,2016-02-01,2016
